Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL810962,D03,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.749177207915636,-53.860669636582315,0.9706789844836501,0.9757089658129776,0.8196427650419749,
AL810962,D03,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.063763917132746,-52.59204412542749,0.9416599311468627,0.8977062959688642,0.3948638082889113,
AL810962,D03,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.173020052185166,-53.220748039588216,0.9552212675990457,0.927927021848288,0.8054741887996979,
AL810962,D03,SIPP21e,5,0,(5|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.442539207999289,-53.592380915315516,0.9570387571074568,0.960338825841387,0.7390854731995811,
AL810962,D03,SIPP21e,6,-2,(6|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-10.84519134828588,-51.13171465654159,0.9555776021541689,0.9450819313416262,0.7782231082350409,
AL810962,D03,SIPP21e,6,2,(6|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-10.970607105322415,-51.292794519409654,0.946872848219606,0.9706739633477579,0.8700512464364404,
AL810962,D03,SIPP21e,7,0,(7|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-10.908023281872374,-50.64333729693317,0.9741188609641311,0.9348522046723716,0.9031397173044238,
AL810962,D03,SIPP21e,9,0,(9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.227684300247347,-53.05454352663946,0.9409739748976994,0.8821915086646304,0.2988660175066331,
AL810962,D03,SIPP21e,-2,-2,(-2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-21.814437051230925,-58.0094115598331,0.9970919115055061,0.7140982152947088,0.282794577070584,
AL810962,D03,SIPP21e,-2,2,(-2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-37.344992792990524,-59.16268259595381,0.9961939098591617,0.7252758721589394,0.14710809338685638,
